,t,type,ns,planSummary,planningTimeMicros,keysExamined,docsExamined,nBatches,cursorExhausted,numYields,nreturned,queryFramework,reslen,locks,storage,cpuNanos,remote,protocol,durationMillis,find,filter,lsid,$db,$and,$not,$nor,$or,$eq,$gt,$gte,$in,$lt,lte,$ne,$nin,$exists,$type,$expr,$jsonSchema,$mod,$regex,$text,$where,$all,$elemMatch,$size,$bitsAllClear,$bitsAllSet,$bitsAnyClear,$bitsAnySet,meta,$slice,$,$rand,$natural,>=,==,<=,<,>,!=,===,&&,||,!,selector_comparision,selector_logical,selector_element,selector_evalutaion,selector_array,selector_bitwise,projection,misc,selector,standard_logical,all_operators
10,1712243230.304,command,test_database.test_collection,EOF,128.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},177794,127.0.0.1:47038,op_msg,0,test_collection,{'username': {'$regex': '^test'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
11,1712243230.304,command,test_database.test_collection,EOF,41.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},69260,127.0.0.1:47038,op_msg,0,test_collection,{'username': {'$ne': 'testuser'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
12,1712243230.305,command,test_database.test_collection,EOF,30.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},54802,127.0.0.1:47038,op_msg,0,test_collection,{'username': {'$gt': 'guest'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
13,1712243230.305,command,test_database.test_collection,EOF,28.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},52048,127.0.0.1:47038,op_msg,0,test_collection,"{'user': 'john', 'password': 'qwerty'}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
14,1712243230.306,command,test_database.test_collection,EOF,62.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},99076,127.0.0.1:47038,op_msg,0,test_collection,{'category': 'electronics'},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
15,1712243230.307,command,test_database.test_collection,EOF,47.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},81032,127.0.0.1:47038,op_msg,0,test_collection,"{'category': 'electronics', 'price': {'$gt': 200}}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
16,1712243230.307,command,test_database.test_collection,EOF,53.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},82175,127.0.0.1:47038,op_msg,0,test_collection,"{'category': 'electronics', 'price': {'$gt': 200}, 'name': {'$regex': '^S'}}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
17,1712243230.308,command,test_database.test_collection,EOF,29.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},56856,127.0.0.1:47038,op_msg,0,test_collection,{},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1712243230.308,command,test_database.test_collection,EOF,30.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},58370,127.0.0.1:47038,op_msg,0,test_collection,{'selector': {'department': 'engineering'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
19,1712243230.309,command,test_database.test_collection,EOF,48.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},84749,127.0.0.1:47038,op_msg,0,test_collection,"{'_id': '001', 'name': 'John Doe', 'department': 'HR', 'salary': 50000}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
20,1712243230.309,command,test_database.test_collection,EOF,57.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},72075,127.0.0.1:47038,op_msg,0,test_collection,"{'user': '{}', 'password': '{}'}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
21,1712243230.309,command,test_database.test_collection,EOF,46.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},75302,127.0.0.1:47038,op_msg,0,test_collection,{'username': {'$regex': '^{}'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
22,1712243230.31,command,test_database.test_collection,EOF,27.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},49784,127.0.0.1:47038,op_msg,0,test_collection,{'username': {'$ne': '{}'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
23,1712243230.31,command,test_database.test_collection,EOF,29.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},53761,127.0.0.1:47038,op_msg,0,test_collection,{'username': {'$gt': '{}'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
24,1712243230.311,command,test_database.test_collection,EOF,33.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},58951,127.0.0.1:47038,op_msg,0,test_collection,"{'user': 'hacker', 'password': {'$ne': ''}}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
25,1712243230.311,command,test_database.test_collection,EOF,56.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},87554,127.0.0.1:47038,op_msg,0,test_collection,"{'user': 'hacker', 'password': {'&ne': ''}}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
26,1712243230.312,command,test_database.test_collection,EOF,89.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},149471,127.0.0.1:47038,op_msg,0,test_collection,"{'username': {'$eq': 'admin'}, 'password': {'$regex': '^md'}}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
27,1712243230.313,command,test_database.test_collection,EOF,138.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},221546,127.0.0.1:47038,op_msg,0,test_collection,"{'type': 'user', 'name': 'oops', 'roles': [], 'password': 'apple'}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
28,1712243230.325,command,test_database.system.js,EOF,36.0,0.0,0.0,1.0,True,0,0.0,classic,112,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},75041,127.0.0.1:47038,op_msg,0,system.js,None,None,test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
29,1712243230.325,command,test_database.test_collection,EOF,11066.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 3}}, 'Global': {'acquireCount': {'r': 3}}}",{},534003,127.0.0.1:47038,op_msg,11,test_collection,"{'$where': ""this.username === '{}'""}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
30,1712243230.326,command,test_database.test_collection,EOF,51.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},86723,127.0.0.1:47038,op_msg,0,test_collection,"{'user': 'alice', 'password': '123456'}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
31,1712243230.326,command,test_database.test_collection,EOF,52.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},81804,127.0.0.1:47038,op_msg,0,test_collection,{'username': {'$regex': '^test'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
32,1712243230.327,command,test_database.test_collection,EOF,34.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},61846,127.0.0.1:47038,op_msg,0,test_collection,{'username': {'$ne': 'testuser'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
33,1712243230.328,command,test_database.test_collection,EOF,65.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},124744,127.0.0.1:47038,op_msg,0,test_collection,{'username': {'$gt': 'guest'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34,1712243230.328,command,test_database.test_collection,EOF,63.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},112030,127.0.0.1:47038,op_msg,0,test_collection,"{'user': 'john', 'password': 'qwerty'}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
35,1712243230.329,command,test_database.users,EOF,66.0,0.0,0.0,,True,0,0.0,classic,108,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 2}}, 'Global': {'acquireCount': {'r': 2}}}",{},256342,127.0.0.1:47038,op_msg,0,None,None,{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
36,1712243230.332,command,test_database.test_collection,EOF,69.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},138730,127.0.0.1:47038,op_msg,0,test_collection,{},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1712243230.334,command,test_database.test_collection,EOF,56.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},102092,127.0.0.1:47038,op_msg,0,test_collection,{'category': 'electronics'},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
38,1712243230.334,command,test_database.test_collection,EOF,39.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},68528,127.0.0.1:47038,op_msg,0,test_collection,"{'category': 'electronics', 'price': {'$gt': 200}}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
39,1712243230.334,command,test_database.test_collection,EOF,47.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},77105,127.0.0.1:47038,op_msg,0,test_collection,"{'category': 'electronics', 'price': {'$gt': 200}, 'name': {'$regex': '^S'}}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
40,1712243230.335,command,test_database.test_collection,EOF,28.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},53110,127.0.0.1:47038,op_msg,0,test_collection,{},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1712243230.335,command,test_database.test_collection,EOF,34.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},61917,127.0.0.1:47038,op_msg,0,test_collection,{'selector': {'department': 'engineering'}},{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
42,1712243230.336,command,test_database.test_collection,EOF,53.0,0.0,0.0,1.0,True,0,0.0,classic,118,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}}",{},87333,127.0.0.1:47038,op_msg,0,test_collection,"{'_id': '001', 'name': 'John Doe', 'department': 'HR', 'salary': 50000}",{'id': {'$uuid': 'e5e23d7e-5367-4829-a104-ca369c49d4dc'}},test_database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
